Date,Year,Month,Country,Arrivals,Total_Monthly_Arrivals,Est_Revenue_MUSD
2022-01-01,2022,January,India,18111,82327,144.07
2022-01-01,2022,January,Russia,13172,82327,144.07
2022-01-01,2022,January,United Kingdom,8232,82327,144.07
2022-01-01,2022,January,Germany,6586,82327,144.07
2022-01-01,2022,January,China,5762,82327,144.07
2022-01-01,2022,January,Other Countries,30460,82327,144.07
2022-02-01,2022,February,India,21231,96507,168.89
2022-02-01,2022,February,Russia,15441,96507,168.89
2022-02-01,2022,February,United Kingdom,9650,96507,168.89
2022-02-01,2022,February,Germany,7720,96507,168.89
2022-02-01,2022,February,China,6755,96507,168.89
2022-02-01,2022,February,Other Countries,35707,96507,168.89
2022-03-01,2022,March,India,23347,106124,185.72
2022-03-01,2022,March,Russia,16979,106124,185.72
2022-03-01,2022,March,United Kingdom,10612,106124,185.72
2022-03-01,2022,March,Germany,8489,106124,185.72
2022-03-01,2022,March,China,7428,106124,185.72
2022-03-01,2022,March,Other Countries,39265,106124,185.72
2022-04-01,2022,April,India,13855,62980,110.22
2022-04-01,2022,April,Russia,10076,62980,110.22
2022-04-01,2022,April,United Kingdom,6298,62980,110.22
2022-04-01,2022,April,Germany,5038,62980,110.22
2022-04-01,2022,April,China,4408,62980,110.22
2022-04-01,2022,April,Other Countries,23302,62980,110.22
2022-05-01,2022,May,India,6645,30207,52.86
2022-05-01,2022,May,Russia,4833,30207,52.86
2022-05-01,2022,May,United Kingdom,3020,30207,52.86
2022-05-01,2022,May,Germany,2416,30207,52.86
2022-05-01,2022,May,China,2114,30207,52.86
2022-05-01,2022,May,Other Countries,11176,30207,52.86
2022-06-01,2022,June,India,7228,32856,57.5
2022-06-01,2022,June,Russia,5256,32856,57.5
2022-06-01,2022,June,United Kingdom,3285,32856,57.5
2022-06-01,2022,June,Germany,2628,32856,57.5
2022-06-01,2022,June,China,2299,32856,57.5
2022-06-01,2022,June,Other Countries,12156,32856,57.5
2022-07-01,2022,July,India,10404,47293,82.76
2022-07-01,2022,July,Russia,7566,47293,82.76
2022-07-01,2022,July,United Kingdom,4729,47293,82.76
2022-07-01,2022,July,Germany,3783,47293,82.76
2022-07-01,2022,July,China,3310,47293,82.76
